id	codeFrame		1.0	2.0	3.0	4.0	5.0	6.0
1700430	4_5_Neg	0.34516670756647133						
1227176	4_5_Neg	0.24575156526885603						
1332320	4_5_Pos	0.17846876701078218						
1136044	4_5_Pos	0.35401308118559127						
753130	2_6_Pos	0.1800256846771002						
397120	2_6_Pos	0.14296832655100206						
985792	4_5_Pos	0.2813211643287794						
220995	10_Pos	0.24130997724188394						
1164681	4_5_Pos	0.2806231913840455						
615210	2_6_Pos	0.29175839624199235						
184116136	3_Pos	0.3619628729510317						
126059	11_Pos	0.22862282523864497			0.44182518745413096			
240098	7_Pos	0.3359999469880435						
2259179	4_5_Pos	0.2893292682926831						
420354	2_6_Pos	0.3457304959557281						
246619	4_5_Pos	0.11954352387288186						
421544	4_5_Pos	0.09492998256187084			0.8402877697841724			
178231	4_5_Pos	0.138112227904404			0.5838540364908766			
185516	4_5_Pos	0.01758817118087793			0.8659456267947723			
792845	3_Pos	0.10150889867193155				0.42169097570950276		
101412363	3_Pos	0.2682997648106388			0.586571391991806			
303068	2_6_Pos	0.20256267203049125						
105326	1_8_9_Pos	0.25550205301697343						
323891	4_5_Neg	3.616066365317045E-5				0.5116662332907856		
115535	1_8_9_Pos	0.25550205301697343						
107202	2_6_Pos	0.2613330974666246						
307316151	4_5_Pos	0.1368270843544605			0.5326971653101311			
795124	7_Neg	0.2308501420983661						
725824	2_6_Pos	0.34215111799967707						
711107	4_5_Pos	0.2893292682926831						
381216151	4_5_Pos	0.006665504709366357			0.9451326007916139			
924126	4_5_Pos	0.22370760661479888						
801175	1_8_9_Pos	0.28745642179774433						
213379	2_6_Pos	0.12574611954089956						
236834	4_5_Pos	0.24567989126917353						
119197	2_6_Pos	0.19557150613669133						
664281	4_5_Pos	0.29946355317134726						
984551	4_5_Pos	0.2813211643287794						
749844	3_Pos	0.29804465096590116				0.39833879916998965		
97655	2_6_Pos	0.3363972526926032						
1308661	10_Pos	0.12676114450989678						
298210	2_6_Pos	0.11798312651081005				0.4793900799125775		
107821	1_8_9_Pos	0.22105889975941498						
821297	4_5_Pos	0.10829651575759673						
122939	2_6_Pos	0.08186211076917714	0.4028897294504385					
1016744	10_Pos	0.15881273246512018	0.4870314006815606					
245516151	4_5_Pos	0.35401308118559127						
1700393	4_5_Pos	0.09281551730942515			0.39445108328570694			
97426	4_5_Pos	0.1402456153920961						
420806	4_5_Neg	0.1185404488848295						0.6724582120715192
611973	2_6_Pos	0.08281840550077353				0.5248913614150567		
96725	10_Pos	0.27005253772079557	0.39522860104469487					
623950	4_5_Pos	0.13538575667655772				0.3977986666790396		
377686	1_8_9_Pos	0.05545361101304399	0.42369825928514415					
202086	2_6_Pos	0.07438231177537384				0.3811522025700457		
115765	2_6_Neg	0.06522615490269663						
869026	2_6_Pos	0.07361983209638846				0.3809447485309093		
253834	4_5_Pos	0.3519529925797581						
30182896	4_5_Pos	0.17846876701078218						
415516	2_6_Pos	0.07110438890063468						
338300	4_5_Pos	0.32723364138247774						
813440	11_Pos	0.021380730219095423			0.6122246841722423			
1228017	4_5_Pos	0.1741045566026479						
1166464	11_Pos	0.027305796724042552			0.7817756964440228			
311715	11_Pos	0.22424949355630053						
612228	2_6_Pos	0.18621236867435517	0.41261532660808464					
890025	4_5_Pos	0.14868671402051845			0.3944510832857073			
114578	4_5_Pos	0.3519529925797581						
1169549	7_Pos	0.08276250468434124			0.6878295061247985			
839310	10_Pos	0.08814269220777596	0.6550868595476148					
253931	2_6_Pos	0.004215134505399752	0.8063502853362193		0.3792336643015528			
116297	4_5_Pos	0.23884329939272617						
793760	4_5_Pos	0.02841023653349778			0.6951107855704081			
90462881	3_Pos	0.030925172370404132	0.9646208855662252					
189752	2_6_Pos	0.052779355422697016				0.5525238735573192		
257339	11_Pos	0.2947120124321271		0.42515176116288983				
1037739	2_6_Pos	0.1844986902440185						
293270	1_8_9_Pos	0.25096647008977696						
103712	2_6_Pos	0.1969394547644488				0.4443403813621865		
795277	1_8_9_Pos	0.22603380048332547						
91728	2_6_Pos	0.28685045267638487						
609876	4_5_Pos	0.25878399586418444						
1701103	4_5_Pos	0.24289612023345009						
786419	1_8_9_Pos	0.16736879539754368				0.5419521880450404		
103545	4_5_Pos	0.2065299678661923			0.596730245231608			
1175383	2_6_Pos	0.10697764308844862						
852502	11_Neg	8.289329197628814E-5					0.8970852878022642	
1700512	4_5_Pos	0.3630451415455237						
1128597	4_5_Pos	0.07882852313904441			0.6237906456052418			
1128580	4_5_Neg	0.09630629578042178						
529886	4_5_Pos	0.1482684959103603			0.40996702632831206			
360916151	4_5_Pos	0.07379165648336253			0.5103393803934084			
743261	4_5_Pos	0.06357154520219895		0.40304186909634876				
166312378	4_5_Pos	0.14799725136822406						
794219	4_5_Pos	0.055861792811758675			0.5487234157888079			
11812881	3_Pos	0.0835507449017024	0.864294176819619					
94031	1_8_9_Pos	0.06900729482061187	0.5820656671409143	0.5887646035532699	0.5213457086093748			
706456	2_6_Pos	0.025595481886205005			0.5865719644775137			
350718	2_6_Pos	0.2586397320892305						
100762881	3_Pos	0.011055702891720687	0.99648910957852					
90047	4_5_Pos	0.2283339273305916			0.37914502596883787			
649768	10_Pos	0.029035321836954103	0.7268318739694114					
1159891	4_5_Pos	0.08582635351946048						
96935	11_Pos	0.02744915031411274			0.8818325772484243			
1068247	1_8_9_Pos	0.08788996857482974	0.4362174634770885					
841532	10_Pos	0.00576060039214608	0.9418688919902644					
1155295	4_5_Pos	0.06170752324598468				0.5542768173721282		
118381	2_6_Pos	0.25817958997969315						
126415	2_6_Pos	0.23905632088114226						
416175	2_6_Pos	0.08186211076917714	0.4028897294504385					
94043	4_5_Pos	0.21987951807228887				0.6444669593235967		
1133335	4_5_Pos	0.09723037895041052			0.6218057921635426			
121371	2_6_Pos	0.136456384488547						
93386	4_5_Pos	0.26582080423310533						
1009043	4_5_Pos	0.3089074229791141			0.47195668426942766			
1089597	1_8_9_Pos	0.34899476203847346						
1050019	4_5_Pos	0.3356911979234852						
1235838	4_5_Neg	0.1482974399496304						
185933	11_Neg	0.24266832957293055						
12989179	4_5_Pos	0.26582080423310533						
280316151	4_5_Pos	0.29304821090824873						
338937	2_6_Pos	0.020628932314866465				0.4584440585866221		
215477	7_Pos	0.18645103522659456						
323937	2_6_Neg	0.12947073228931036				0.40471546198688085		
1241781	4_5_Pos	8.660430203111822E-4			0.8454813742413271			
442240	2_6_Pos	0.2386399061234694						
790234	7_Pos	0.10670761805343887		0.8287335231487345				
338206	4_5_Pos	0.03903295667487444			0.6031619925319773			
894997	4_5_Pos	0.20827389443651956						
1058973	3_Pos	0.19810312117321166	0.5315705860734605					
152363	7_Pos	0.10986684070005391				0.6194385354034843		
1311566	1_8_9_Pos	0.28016298335309614						
955229	4_5_Pos	0.13561729022202793						
1183807	1_8_9_Pos	0.17273360116356648						
152726	7_Pos	0.2905575516028429		0.5564461671392302				
54912378	4_5_Pos	0.3127087939866251						
336169	2_6_Pos	0.15535339426387				0.5160237748470801		
371002	2_6_Pos	0.08974446712437495						
1049836	2_6_Pos	0.3095895081089431						
973647	4_5_Pos	0.33514054973429347						
264004	11_Pos	0.1855055615156417						
399233	2_6_Pos	0.31809584679772446						
812592	4_5_Neg	0.005622337451768837					0.6014310749346565	
192996	2_6_Neg	0.3314412457643786						
10792896	4_5_Pos	0.02212080823887195			0.6061315733446891			
1701157	4_5_Pos	0.21747562263224238						
850209	11_Pos	0.15628354893228044			0.732020976924732			
839640	4_5_Neg	0.2782699362361668						
1067367	2_6_Pos	0.09097672138274007						
797344	3_Neg	0.2845686655161807						
925860	1_8_9_Pos	0.20481214427057998						
1308367	3_Pos	0.13700074152355046	0.9929707546222205					
95421	7_Pos	0.36174197840438077						
336185	2_6_Pos	0.017426391479934588			0.6765961420326279			
1700700	4_5_Pos	0.29304821090824873						
1099233	4_5_Pos	0.3048016701461378				0.4633108760225261		
850512	4_5_Neg	0.03774347164160664				0.49621581202285475		
634637	2_6_Pos	0.061623446430053096				0.4882632428006242		
293020	2_6_Pos	0.1264333512859009				0.5098548343939311		
245022	4_5_Pos	0.20699164199219586			0.4368907071887782			
801906	2_6_Pos	0.007570061606355077			0.6355997289523507			
178755	11_Pos	0.01024303456321436			0.4707069613279706			
982221	4_5_Pos	0.14786624913848337			0.6894018887722981			
317207	1_8_9_Pos	0.32619437271883034						
1308464	1_8_9_Pos	0.2342958023001004				0.6507179116425416		
116998	1_8_9_Pos	0.025052870643659856				0.5867814169890723		
168516136	3_Pos	0.31088276369430323						
243936	7_Pos	0.36269627970153645						
173343	1_8_9_Pos	0.2047570586637519						
178883	4_5_Neg	0.003461680342713281					0.8656657505117088	
92318	4_5_Pos	0.05399384872216754			0.7130135018672799			
349230	2_6_Pos	0.34773048658101274						
1290773	11_Neg	9.402262978719655E-4				0.9393650902353643		
423180	4_5_Pos	0.07032592434775743						
1328596	1_8_9_Pos	0.3177572080194915						
983202	4_5_Pos	0.17839603355499692						
91399	2_6_Pos	0.3176101964554364						
95401	10_Pos	0.004908555640728662			0.8322291194817045			
1229473	4_5_Pos	0.140361388989626			0.6121593291404632			
123592	7_Pos	0.27965644431890585		0.511105597762408				
892924	7_Pos	0.3097229878551732			0.5677276509328857			
580950	1_8_9_Pos	0.12299324839096999						
862101	4_5_Pos	0.3196031700123272						
207872	2_6_Neg	0.24292622827481136						
1183563	1_8_9_Pos	0.37040420827218934						
346728	2_6_Pos	0.12276433063660117				0.5431314938966625		
